FLIGHTID,P_AIRCRAFTTYPE,R_ACODE,S_DEPTIME,S_ARRTIME,P_DEPTIME,P_ARRTIME,R_DEPAP,R_DEPTIME,entry_timestamp,entry_lon,entry_lat,entry_height,entry_time_gap,Time_of_Entry,cluster_closed
CCA1264,AJ27,6214.0,202508012100,202508012255,202508012100,202508012230,ZLIC,202508012059.0,2025-08-01 22:13:00,116.3975,40.423889,360.0,56.0,24.0,2.0
CCA1266,A320,6232.0,202508012130,202508020030,202508012130,202508020000,ZWHM,202508012205.0,2025-08-02 00:17:00,115.983329,40.409528,389.5,60.0,17.0,2.0
CCA1270,B738,4072.0,202508012000,202508012155,202508012000,202508012133,ZLYA,202508011958.0,2025-08-01 21:09:00,116.45765,40.422937,360.0,61.0,20.0,2.0
CCA1272,B737,7060.0,202508011505,202508011730,202508011505,202508011655,ZLLL,202508011506.0,2025-08-01 16:43:00,116.390833,40.423889,360.0,177.0,19.0,2.0
CCA1274,B38M,6206.0,202508011200,202508011425,202508011200,202508011349,ZLLL,202508011237.0,2025-08-01 14:16:00,116.493766,40.422404,359.08,61.0,18.0,2.0
CCA1278,B738,6201.0,202508010820,202508011035,202508010820,202508011011,ZLLL,202508010826.0,2025-08-01 10:05:00,116.379722,40.424167,359.0,57.0,23.0,2.0
CCA128,A321,,202508011545,202508011915,202508011545,202508011823,RJBB,202508011553.0,2025-08-01 18:01:00,117.990926,38.604944,509.0,60.0,30.0,4.0
CCA1282,AJ27,7063.0,202508011215,202508011410,202508011215,202508011344,ZLIC,202508011215.0,2025-08-01 13:31:00,116.440591,40.423387,360.0,62.0,21.0,2.0
CCA1288,A321,7052.0,202508012120,202508020020,202508012120,202508012350,ZLDH,202508012135.0,2025-08-01 23:47:00,115.595083,40.432296,451.08,60.0,27.0,1.0
CCA1292,B77W,2320.0,202508012105,202508020045,202508012105,202508020005,ZWWW,202508012112.0,2025-08-02 00:02:00,116.382213,40.42419,337.32,60.0,19.0,2.0
CCA1294,B77W,2313.0,202508012005,202508012355,202508012005,202508012305,ZWWW,202508012028.0,2025-08-01 23:12:00,116.428734,40.423666,360.0,61.0,19.0,2.0
CCA1296,B77W,2330.0,202508011015,202508011355,202508011015,202508011318,ZWWW,202508011039.0,2025-08-01 13:25:00,116.365,40.424444,360.0,60.0,22.0,2.0
CCA130,B738,4106.0,202508011145,202508011410,202508011145,202508011348,RKPK,202508011147.0,2025-08-01 13:16:00,117.9995,38.600537,509.0,60.0,37.0,4.0
CCA1304,B789,3161.0,202508011900,202508012215,202508011900,202508012129,ZGSZ,202508011922.0,2025-08-01 21:35:00,115.837509,38.691537,508.03,60.0,21.0,3.0
CCA1308,A333,3143.0,202508011030,202508011340,202508011030,202508011305,ZGSZ,202508011045.0,2025-08-01 13:02:00,115.811,38.665556,515.67,60.0,24.0,3.0
CCA1314,A359,2433.0,202508011600,202508011915,202508011600,202508011833,ZGSZ,202508011621.0,2025-08-01 18:34:00,115.880741,38.732296,509.0,60.0,20.0,3.0
CCA1316,B77W,4215.0,202508011540,202508011915,202508011540,202508011806,ZGGG,202508011546.0,2025-08-01 17:48:00,115.88437,38.73688,539.03,60.0,20.0,3.0
CCA1318,A332,4201.0,202508011440,202508011745,202508011440,202508011712,ZGGG,202508011445.0,2025-08-01 16:53:00,115.878625,38.730778,539.0,60.0,20.0,3.0
CCA1322,B77W,3132.0,202508011340,202508011700,202508011340,202508011606,ZGGG,202508011354.0,2025-08-01 15:53:00,115.811389,38.664722,539.0,56.0,21.0,3.0
CCA1326,B738,4250.0,202508012120,202508012355,202508012120,202508012317,ZGHA,202508012129.0,2025-08-01 23:02:00,115.813185,38.664611,509.0,60.0,22.0,3.0
CCA1328,B77W,3124.0,202508012040,202508012355,202508012040,202508012307,ZGGG,202508012110.0,2025-08-01 23:14:00,115.812907,38.664333,539.0,60.0,23.0,3.0
CCA1330,B77W,3113.0,202508011105,202508011415,202508011105,202508011331,ZGGG,202508011116.0,2025-08-01 13:15:00,115.811598,38.664677,539.0,61.0,22.0,3.0
CCA1332,B77W,3161.0,202508011300,202508011615,202508011300,202508011530,ZGSZ,202508011312.0,2025-08-01 15:21:00,115.813852,38.666384,479.0,61.0,21.0,3.0
CCA1334,B77W,4230.0,202508010815,202508011125,202508010815,202508011046,ZGSZ,202508010828.0,2025-08-01 10:37:00,115.824606,38.679068,539.39,62.0,22.0,3.0
CCA1336,A321,2462.0,202508011155,202508011515,202508011155,202508011448,ZGNN,202508011155.0,2025-08-01 14:26:00,115.845018,38.698784,539.0,61.0,25.0,3.0
CCA134,A321,,202508011500,202508011900,202508011500,202508011805,RJTT,202508011518.0,2025-08-01 17:55:00,117.981389,38.6075,539.0,60.0,34.0,4.0
CCA1340,A359,4202.0,202508011640,202508012015,202508011640,202508011917,ZGGG,202508011707.0,2025-08-01 19:12:00,115.855,38.708889,539.0,60.0,21.0,3.0
CCA1342,A333,3147.0,202508011700,202508012030,202508011700,202508011935,ZGSZ,202508011717.0,2025-08-01 19:35:00,115.877282,38.731833,509.0,60.0,21.0,3.0
CCA1344,B38M,4567.0,202508011030,202508011255,202508011030,202508011225,ZGHA,202508011052.0,2025-08-01 12:27:00,115.809569,38.664194,509.0,60.0,22.0,3.0
CCA1346,A21N,4261.0,202508012130,202508020140,202508012130,202508020104,ZJSY,202508012138.0,2025-08-02 00:46:00,115.815,38.670833,539.0,60.0,20.0,3.0
CCA1348,A21N,3456.0,202508011445,202508011800,202508011445,202508011727,ZGOW,202508011515.0,2025-08-01 17:32:00,116.421776,38.665619,509.0,61.0,29.0,0.0
CCA1350,B38M,4550.0,202508010830,202508011055,202508010830,202508011025,ZGHA,202508010849.0,2025-08-01 10:25:00,115.808528,38.664201,509.0,57.0,22.0,3.0
CCA1352,A359,4205.0,202508011240,202508011600,202508011240,202508011515,ZGGG,202508011304.0,2025-08-01 15:06:00,115.890519,38.741963,509.0,61.0,21.0,3.0
CCA1354,B738,4263.0,202508011930,202508012340,202508011930,202508012306,ZJSY,202508011936.0,2025-08-01 22:47:00,115.884167,38.736389,509.0,60.0,21.0,3.0
CCA1358,A333,3163.0,202508012145,202508020100,202508012145,202508020021,ZGSZ,202508012209.0,2025-08-02 00:24:00,115.820981,38.67487,539.0,60.0,21.0,3.0
CCA1362,B38M,4517.0,202508011315,202508011700,202508011315,202508011628,ZJHK,202508011326.0,2025-08-01 16:19:00,115.850651,38.703147,539.0,61.0,21.0,3.0
CCA1364,B38M,4254.0,202508011900,202508012130,202508011900,202508012055,ZGHA,202508011920.0,2025-08-01 20:55:00,115.806458,38.660694,539.0,60.0,24.0,3.0
CCA1366,B77W,3133.0,202508012100,202508020020,202508012100,202508012326,ZGGG,202508012112.0,2025-08-01 23:20:00,115.843975,38.697672,509.0,55.0,23.0,3.0
CCA1368,B789,3145.0,202508011400,202508011715,202508011400,202508011629,ZGSZ,202508011454.0,2025-08-01 17:05:00,115.877914,38.730692,539.0,61.0,22.0,3.0
CCA1370,A321,4264.0,202508011245,202508011645,202508011245,202508011617,ZJSY,202508011306.0,2025-08-01 16:15:00,115.827573,38.679832,539.93,61.0,22.0,3.0
CCA1372,A21N,4543.0,202508012005,202508020020,202508012005,202508012339,ZJSY,202508012016.0,2025-08-01 23:23:00,115.874176,38.72687,539.0,60.0,23.0,3.0
CCA1374,A321,4551.0,202508011645,202508011915,202508011645,202508011838,ZGHA,202508011704.0,2025-08-01 18:37:00,115.824069,38.678944,539.0,60.0,21.0,3.0
CCA138,B738,4171.0,202508011325,202508011530,202508011325,202508011506,RKSS,202508011330.0,2025-08-01 14:38:00,117.936626,38.623638,509.0,61.0,35.0,4.0
CCA1384,B789,3157.0,202508011500,202508011815,202508011500,202508011729,ZGSZ,202508011559.0,2025-08-01 18:08:00,115.827074,38.681481,539.0,60.0,21.0,3.0
CCA1386,A321,4204.0,202508010625,202508010935,202508010625,202508010858,ZGGG,202508010635.0,2025-08-01 08:44:00,115.822093,38.676296,539.0,60.0,21.0,3.0
CCA1392,B738,4576.0,202508011835,202508012120,202508011835,202508012047,ZGSY,202508011844.0,2025-08-01 20:37:00,115.887375,38.739292,509.0,60.0,20.0,3.0
CCA1394,A333,4220.0,202508012005,202508012320,202508012005,202508012241,ZGSZ,202508012121.0,2025-08-01 23:39:00,115.850699,38.704944,509.0,60.0,23.0,3.0
CCA1398,A359,3157.0,202508011900,202508012225,202508012025,202508012302,ZGSZ,202508012050.0,2025-08-01 23:08:00,115.89062,38.741481,539.0,60.0,22.0,3.0
CCA1400,A320,4556.0,202508011400,202508011625,202508011400,202508011554,ZGHA,202508011429.0,2025-08-01 16:04:00,115.886179,38.738443,539.0,60.0,22.0,3.0
CCA1402,B77W,7436.0,202508012030,202508012315,202508012030,202508012242,ZUUU,202508012051.0,2025-08-01 22:40:00,115.861079,38.714991,539.0,61.0,21.0,3.0
CCA1404,B38M,3522.0,202508011130,202508011510,202508011130,202508011453,ZPPP,202508011150.0,2025-08-01 14:58:00,116.38538,40.424213,359.97,60.0,21.0,2.0
CCA1406,C919,7444.0,202508011145,202508011430,202508011145,202508011405,ZUUU,202508011149.0,2025-08-01 13:40:00,115.799037,38.665796,508.07,60.0,23.0,3.0
CCA1408,A359,7455.0,202508012100,202508012345,202508012100,202508012320,ZUUU,202508012109.0,2025-08-01 22:56:00,115.821644,38.680351,539.0,61.0,21.0,3.0
CCA1410,A333,5366.0,202508012015,202508012240,202508012015,202508012220,ZUCK,202508012049.0,2025-08-01 22:35:00,115.862583,38.715638,539.0,57.0,21.0,3.0
CCA1412,B38M,5373.0,202508011915,202508012145,202508011915,202508012121,ZUCK,202508011927.0,2025-08-01 21:18:00,115.828625,38.6825,509.0,60.0,21.0,3.0
CCA1414,A333,3507.0,202508012005,202508012345,202508012005,202508012328,ZPPP,202508012033.0,2025-08-01 23:29:00,116.379481,40.424259,355.33,60.0,20.0,2.0
CCA1416,A359,7440.0,202508011345,202508011630,202508011345,202508011605,ZUUU,202508011348.0,2025-08-01 15:37:00,115.865167,38.69737,539.0,60.0,29.0,0.0
CCA1418,B738,1505.0,202508011640,202508011925,202508011640,202508011857,ZUTF,202508011657.0,2025-08-01 18:47:00,115.840278,38.696444,555.23,60.0,21.0,3.0
CCA1422,A359,1523.0,202508011240,202508011525,202508011240,202508011459,ZUUU,202508011252.0,2025-08-01 14:40:00,115.844107,38.699513,539.0,61.0,25.0,3.0
CCA1426,B789,7455.0,202508012200,202508020045,202508012200,202508020010,ZUUU,202508012227.0,2025-08-02 00:11:00,115.796889,38.666778,539.0,60.0,20.0,3.0
CCA1430,C919,5367.0,202508011255,202508011530,202508011255,202508011504,ZUCK,202508011323.0,2025-08-01 15:09:00,115.804444,38.659722,509.0,60.0,22.0,3.0
CCA1432,B789,5357.0,202508011155,202508011430,202508011155,202508011354,ZUCK,202508011208.0,2025-08-01 13:48:00,115.841908,38.69673,508.0,61.0,24.0,3.0
CCA1434,B38M,3532.0,202508011305,202508011615,202508011305,202508011534,ZUGY,202508011329.0,2025-08-01 15:35:00,115.870947,38.723661,508.95,61.0,24.0,3.0
CCA1436,B789,5354.0,202508012115,202508012345,202508012115,202508012316,ZUCK,202508012128.0,2025-08-01 23:11:00,115.852222,38.706944,539.0,60.0,22.0,3.0
CCA1438,B738,6444.0,202508011615,202508011830,202508011615,202508011822,ZUCK,202508011624.0,2025-08-01 18:10:00,115.842222,38.6975,509.0,60.0,22.0,3.0
CCA1442,B737,3512.0,202508011930,202508012255,202508011930,202508012239,ZPDL,202508011928.0,2025-08-01 22:19:00,115.811583,38.673426,539.0,60.0,23.0,3.0
CCA1444,A21N,5374.0,202508012235,202508020135,202508012315,202508020145,ZUGY,202508012323.0,2025-08-02 01:32:00,115.821676,38.676894,498.18,60.0,20.0,3.0
CCA1446,A359,3523.0,202508011515,202508011930,202508011515,202508011844,ZPPP,202508011520.0,2025-08-01 18:18:00,116.383821,40.423944,360.0,61.0,19.0,2.0
CCA1448,B38M,3520.0,202508012225,202508020155,202508012225,202508020148,ZPPP,202508012233.0,2025-08-02 01:32:00,116.021222,40.414694,441.55,60.0,17.0,2.0
CCA1450,B738,5354.0,202508010950,202508011225,202508010950,202508011157,ZUCK,202508011002.0,2025-08-01 11:52:00,115.865492,38.718921,509.0,61.0,22.0,3.0
CCA1456,A20N,1502.0,202508012145,202508020020,202508012145,202508012352,ZUMY,202508012139.0,2025-08-01 23:31:00,115.853921,38.710073,539.0,61.0,21.0,3.0
CCA1458,B737,1503.0,202508011440,202508011715,202508011535,202508011734,ZUGU,202508011526.0,2025-08-01 17:00:00,115.816375,38.674333,539.0,60.0,22.0,3.0
CCA1460,A20N,3505.0,202508012040,202508020025,202508012040,202508020000,ZPLJ,202508012049.0,2025-08-01 23:52:00,116.506751,40.42253,341.34,56.0,20.0,2.0
CCA1462,A21N,3536.0,202508011145,202508011445,202508011145,202508011413,ZUGY,202508011150.0,2025-08-01 14:00:00,115.842511,38.697111,509.0,50.0,22.0,3.0
CCA1464,B738,3531.0,202508011955,202508012255,202508011955,202508012227,ZUGY,202508012003.0,2025-08-01 22:16:00,115.877052,38.729794,539.0,62.0,22.0,3.0
CCA1466,A20N,3525.0,202508011535,202508011925,202508011535,202508011854,ZPLJ,202508011538.0,2025-08-01 18:42:00,116.422581,40.424098,360.0,65.0,18.0,2.0
CCA1470,A20N,3501.0,202508011130,202508011515,202508011130,202508011449,ZPLJ,202508011139.0,2025-08-01 14:52:00,116.485333,40.423111,360.0,60.0,20.0,2.0
CCA1476,A333,3501.0,202508011250,202508011645,202508011250,202508011613,ZPPP,202508011254.0,2025-08-01 15:58:00,116.408157,40.423935,359.43,60.0,20.0,2.0
CCA1488,A320,6673.0,202508011600,202508011815,202508011600,202508011747,ZUDA,202508011600.0,2025-08-01 17:28:00,115.813625,38.665072,539.32,62.0,21.0,3.0
CCA1490,A320,6673.0,202508011220,202508011435,202508011220,202508011406,ZUDA,202508011216.0,2025-08-01 13:44:00,115.842472,38.697269,539.0,60.0,21.0,3.0
CCA1492,B738,5374.0,202508012040,202508012320,202508012040,202508012258,ZUMT,202508012039.0,2025-08-01 22:37:00,115.887463,38.739653,509.0,60.0,21.0,3.0
CCA1496,B737,1522.0,202508011955,202508012240,202508011955,202508012223,ZUYB,202508011953.0,2025-08-01 22:03:00,115.815833,38.6725,539.0,56.0,22.0,3.0
CCA1498,A319,7437.0,202508011840,202508012140,202508011840,202508012123,ZUXC,202508011840.0,2025-08-01 20:53:00,115.877249,38.731116,509.95,62.0,23.0,3.0
CCA1500,B737,3525.0,202508010955,202508011330,202508010955,202508011304,ZPDL,202508010956.0,2025-08-01 12:50:00,115.821111,38.6775,533.0,56.0,22.0,3.0
CCA1502,B77W,5074.0,202508011225,202508011445,202508011225,202508011407,ZSSS,202508011247.0,2025-08-01 14:10:00,116.404863,38.717641,539.0,61.0,19.0,3.0
CCA1506,B38M,7001.0,202508011255,202508011540,202508011335,202508011600,ZSFZ,202508011403.0,2025-08-01 16:19:00,116.43888,38.675093,539.0,60.0,30.0,0.0
CCA1508,B748,6356.0,202508011130,202508011345,202508011130,202508011307,ZSSS,202508011156.0,2025-08-01 13:17:00,116.470246,38.691617,539.0,61.0,32.0,0.0
CCA1510,A359,6361.0,202508012130,202508012345,202508012130,202508012316,ZSSS,202508012202.0,2025-08-01 23:27:00,116.436944,38.676667,539.0,60.0,28.0,0.0
CCA1512,A321,5133.0,202508011610,202508011845,202508011610,202508011806,ZSCN,202508011620.0,2025-08-01 17:57:00,116.512127,38.712022,540.07,60.0,30.0,0.0
CCA1514,A21N,6317.0,202508011755,202508012000,202508011755,202508011931,ZSNT,202508011810.0,2025-08-01 19:22:00,116.460457,38.683333,509.0,62.0,24.0,0.0
CCA1516,B789,6362.0,202508011925,202508012145,202508011925,202508012107,ZSSS,202508011953.0,2025-08-01 21:15:00,116.422687,38.667596,508.97,61.0,26.0,0.0
CCA1518,A333,5077.0,202508011730,202508012000,202508011730,202508011914,ZSSS,202508011742.0,2025-08-01 19:05:00,116.4225,38.669444,539.0,56.0,33.0,0.0
CCA1520,B789,5074.0,202508011330,202508011545,202508011330,202508011512,ZSSS,202508011340.0,2025-08-01 14:51:00,117.944861,38.620653,539.65,60.0,31.0,4.0
CCA1522,A333,5042.0,202508011830,202508012115,202508011830,202508012014,ZSSS,202508011835.0,2025-08-01 20:03:00,116.440833,38.678056,509.0,60.0,27.0,0.0
CCA1534,B789,6364.0,202508011635,202508011900,202508011635,202508011817,ZSSS,202508011648.0,2025-08-01 18:09:00,116.470917,38.691667,509.0,60.0,26.0,0.0
CCA1538,AJ27,2740.0,202508011155,202508011430,202508011155,202508011356,ZSCN,202508011224.0,2025-08-01 14:07:00,116.378569,38.650213,509.0,60.0,19.0,3.0
CCA1540,A333,3377.0,202508010805,202508011035,202508010805,202508011019,ZSWZ,202508010809.0,2025-08-01 09:57:00,116.456257,38.684085,509.0,61.0,30.0,0.0
CCA1542,A320,144.0,202508011700,202508011930,202508011825,202508012025,ZSNB,202508011832.0,2025-08-01 20:06:00,116.404709,38.722117,539.0,61.0,21.0,3.0
CCA1543,A320,7034.0,202508011715,202508012000,202508011715,202508011929,ZSWZ,202508011721.0,2025-08-01 19:12:00,116.406494,38.656239,539.0,61.0,29.0,0.0
CCA1550,C919,6335.0,202508012025,202508012240,202508012025,202508012213,ZSSS,202508012043.0,2025-08-01 22:07:00,116.493972,38.703435,539.0,61.0,28.0,0.0
